Total Keypoints train: 192

Detectado Total_keypoints_object  coincidencias_validas(antes_de_ransac)  coincidencias_validas_(depues_ransac)  fps  fps_promedio
0 125 58 9 3,47186 inf
1 163 97 53 7,79174 42,4526
1 167 111 47 6,65487 42,3548
0 172 83 33 6,77241 42,2578
1 242 87 45 6,22878 42,1599
1 105 73 31 7,32301 42,0655
1 180 78 37 6,83377 41,9703
1 227 93 44 6,11729 41,8737
1 164 87 39 6,68494 41,7791
0 122 70 13 3,92633 41,6776
1 146 86 28 5,86449 41,5818
1 106 81 26 6,26343 41,4876
1 171 83 38 5,8761 41,3929
0 90 70 14 5,02298 41,2965
1 158 87 30 5,93848 41,2029
1 144 76 30 5,81409 41,1095
1 102 85 27 5,61896 41,0161
1 31 60 14 5,14083 40,922
1 146 78 26 5,4974 40,8292
1 146 78 27 6,04266 40,7384
1 121 77 26 8,01198 40,6532
1 122 80 23 7,13242 40,5661
0 122 80 23 46,0487 40,5803
1 99 92 35 6,81296 40,4931
1 131 79 24 5,50891 40,4029
0 78 69 8 5,30267 40,3127
0 49 79 27 11,0763 40,2377
0 40 73 15 5,61709 40,1492
0 63 74 21 8,35149 40,0681
1 144 94 29 5,44449 39,98
1 157 89 23 4,24126 39,8892
0 61 55 14 6,73773 39,8053
1 103 85 15 4,02372 39,715
0 77 80 11 4,78002 39,627
1 106 81 23 6,9431 39,5448
1 83 88 21 5,34293 39,4591
1 98 91 28 7,79783 39,38
0 98 91 28 59,0772 39,4291
1 130 59 20 6,85016 39,3481
0 88 74 10 4,75301 39,2622
1 167 79 39 6,56612 39,1813
1 157 79 37 6,02606 39,0994
1 45 80 24 8,36337 39,0237
1 146 81 40 6,76255 38,9444
1 180 95 47 6,86374 38,8658
1 157 97 52 7,68794 38,7896
1 106 81 17 4,87156 38,7069
0 106 81 17 53,5965 38,7431
1 143 87 42 8,31705 38,6692
1 162 86 44 6,80837 38,5921
1 165 84 43 6,62032 38,5149
1 166 98 52 6,36084 38,4374
0 54 77 13 5,00092 38,357
1 158 85 47 7,07149 38,282
1 132 80 46 8,00525 38,2095
1 124 101 52 7,31459 38,1358
1 165 93 55 6,76943 38,0611
1 160 87 46 7,12779 37,9877
1 82 78 29 6,92948 37,9141
1 106 84 35 6,9588 37,8409
0 184 86 42 6,65495 37,7673
1 154 92 38 5,85388 37,6922
1 140 77 34 6,25423 37,6184
1 174 107 56 6,06722 37,5445
1 169 122 71 6,71976 37,4725
1 156 94 55 7,04325 37,4016
1 132 101 52 7,46547 37,332
1 202 104 63 7,18994 37,262
1 183 114 71 6,27727 37,1903
1 127 85 30 6,30299 37,119
0 133 92 34 6,22471 37,0478
1 141 90 44 6,06049 36,9766
1 174 90 50 5,47061 36,9043
0 190 94 50 6,05177 36,8337
0 21 61 14 6,0583 36,7634
1 204 100 43 6,30247 36,6941
1 231 96 47 5,93832 36,6242
0 49 74 12 3,98624 36,5501
1 96 89 35 6,88374 36,483
1 96 85 27 5,8124 36,4138
1 170 93 49 5,78834 36,3448
1 175 108 46 6,09786 36,2768
1 214 97 50 5,9942 36,2089
1 201 97 44 5,2488 36,1397
1 223 105 49 6,04408 36,0725
1 98 96 40 7,28216 36,0084
0 191 93 46 6,89019 35,9437
1 150 87 39 6,19072 35,8777
1 138 100 41 6,17501 35,812
1 147 99 63 6,33862 35,7469
1 159 100 55 6,13346 35,6817
1 234 125 73 6,09496 35,6167
1 166 106 54 5,54342 35,5507
1 250 105 60 5,56591 35,4851
1 149 88 43 5,81788 35,4203
1 115 93 42 5,89814 35,356
1 162 99 52 6,12287 35,2925
1 168 95 46 5,53082 35,2279
0 162 108 48 5,72479 35,1641
0 122 91 34 9,21293 35,108
0 139 90 43 8,66896 35,051
1 80 81 19 5,44025 34,9873
1 121 84 42 7,15743 34,9276
0 134 92 38 8,58412 34,8712
0 14 61 22 14,5328 34,8278
1 173 94 51 6,22018 34,7668
1 147 96 41 5,83176 34,7052
0 148 87 45 6,16857 34,6446
1 127 95 42 5,66441 34,5832
1 139 87 43 5,49809 34,5217
1 154 108 51 5,87613 34,4613
1 163 105 57 5,88897 34,4011
1 182 105 52 5,69272 34,3408
1 187 115 48 6,71836 34,2829
0 187 115 48 60,9274 34,3387
1 213 109 60 6,2937 34,2801
0 213 109 60 50,6277 34,3142
0 69 73 13 5,41263 34,2541
1 90 97 41 6,2935 34,1961
1 103 96 42 7,43676 34,1407
1 141 99 56 6,62546 34,0838
1 145 110 56 6,15271 34,0262
1 186 113 69 6,9152 33,9704
1 175 107 58 8,6364 33,9184
1 181 108 60 9,56828 33,8685
0 181 108 60 42,8817 33,887
1 192 101 61 7,38231 33,8329
1 233 105 59 7,00471 33,7782
1 197 91 54 6,34103 33,7225
1 186 98 53 6,43512 33,6671
1 152 90 37 8,81143 33,6168
0 46 73 13 3,93481 33,5568
1 78 73 14 3,61971 33,4965
1 192 97 57 6,65017 33,4425
1 168 98 60 7,85774 33,3911
1 167 92 55 8,15056 33,3405
0 167 92 55 59,7948 33,3934
1 182 109 56 7,27924 33,3413
1 141 97 52 6,72463 33,2883
1 191 115 63 7,32563 33,2366
1 174 95 61 9,20682 33,189
0 174 95 61 55,9352 33,234
1 138 95 48 7,05198 33,1823
1 72 69 28 6,48823 33,1296
1 86 68 30 6,29339 33,0768
1 168 109 63 6,87059 33,0253
0 168 109 63 53,211 33,0649
1 189 104 69 7,73754 33,0153
1 112 96 48 9,44957 32,9693
1 155 108 73 6,85138 32,9184
1 111 98 44 6,72508 32,8674
1 92 100 39 7,07829 32,8173
1 103 85 30 6,30442 32,766
1 98 68 21 5,60529 32,7134
1 108 101 32 6,27187 32,6624
1 134 95 41 7,13674 32,6132
1 129 101 41 7,97613 32,5658
0 129 101 41 54,1242 32,6072
1 28 81 24 8,06575 32,5602
1 122 86 35 6,25539 32,5099
1 148 99 37 5,63215 32,4586
1 80 80 14 3,64664 32,4037
0 65 84 14 4,12645 32,35
1 94 88 30 6,63499 32,3012
1 166 99 57 7,33224 32,2539
1 184 105 61 7,5925 32,2072
1 175 103 64 7,41516 32,1605
1 157 103 58 8,25062 32,1154
1 131 105 64 8,4246 32,0709
1 125 104 53 9,20724 32,028
1 150 104 62 8,60637 31,9842
1 154 109 74 7,91533 31,9392
1 102 101 45 7,73664 31,894
1 123 106 55 6,78491 31,8473
1 134 98 44 6,50554 31,8002
1 147 110 56 6,10002 31,7525
1 221 121 65 6,43038 31,7056
1 253 114 69 6,00911 31,6581
1 256 117 70 6,22355 31,6112
1 208 112 68 7,56355 31,5669
1 248 112 71 6,53224 31,5208
1 120 107 67 10,0089 31,4814
1 195 106 66 7,05557 31,4366
1 187 99 70 7,07128 31,3921
1 163 105 54 7,08521 31,3477
1 157 105 52 7,14934 31,3037
1 126 100 48 8,07454 31,2614
1 116 106 55 8,94909 31,2209
1 109 88 46 8,87107 31,1804
1 138 99 45 7,02346 31,1368
1 137 105 47 6,98598 31,0932
1 71 89 37 6,51104 31,0489
1 93 90 37 7,04295 31,0057
1 134 107 60 7,35803 30,9632
1 166 110 74 6,29885 30,919
1 178 122 76 7,13435 30,8765
1 102 88 33 11,484 30,8419
1 182 113 66 6,35038 30,7982
1 195 114 67 6,56404 30,7551
1 179 113 73 7,12778 30,7131
1 169 95 55 7,24045 30,6715
1 178 79 53 6,9428 30,6295
1 141 102 65 7,53285 30,5887
1 88 91 32 7,58333 30,5481
1 142 101 61 8,09822 30,5086
1 136 103 60 8,41292 30,4698
0 136 103 60 62,445 30,5259
1 43 82 27 6,64288 30,484
1 70 79 21 7,77182 30,4443
0 70 79 21 53,4102 30,4844
1 90 78 45 8,86634 30,4467
1 89 95 33 6,95096 30,4059
1 66 82 15 4,20998 30,3604
1 83 86 17 3,91335 30,3146
0 96 81 13 3,90157 30,2689
0 87 73 28 7,10237 30,2289
1 138 79 29 6,0415 30,1872
1 137 96 48 6,97958 30,1472
1 148 97 52 7,87605 30,1089
1 180 98 41 6,47556 30,0684
0 185 101 43 7,9151 30,0305
1 191 93 45 6,9617 29,991
1 112 84 26 6,14605 29,9504
0 152 97 49 7,51207 29,9121
1 151 89 43 6,70804 29,8727
1 153 104 44 6,51015 29,833
1 120 98 35 6,32967 29,7932
1 144 94 44 6,70943 29,7541
1 88 80 22 4,7562 29,7119
1 130 80 26 4,83802 29,6699
1 156 97 38 5,35906 29,629
1 147 88 35 5,20711 29,588
1 112 78 28 4,87011 29,5465
1 141 85 29 4,97847 29,5053
1 157 90 48 6,40267 29,4667
1 140 89 45 6,94912 29,4291
1 160 79 34 6,56944 29,391
1 142 91 35 6,15029 29,3523
1 46 68 15 4,05796 29,3103
0 43 61 16 5,10851 29,2702
0 28 61 20 6,6716 29,2328
0 70 83 13 4,13172 29,1913
1 175 94 43 6,48316 29,1538
1 152 94 53 8,35352 29,1195
1 151 105 66 8,46274 29,0856
1 149 109 63 8,73288 29,0521
1 212 102 53 6,43335 29,0151
1 153 110 61 9,77716 28,9836
1 166 108 65 8,46696 28,9501
1 177 108 69 7,9642 28,9158
1 159 107 62 7,62427 28,8811
1 88 71 25 6,01207 28,844
1 100 80 22 4,88532 28,8051
1 96 87 30 5,75655 28,7677
1 186 110 65 7,64403 28,7335
1 126 97 53 8,51041 28,7009
1 181 100 72 7,09677 28,666
0 181 100 72 52,829 28,7049
1 162 105 53 7,61036 28,671
1 145 92 52 7,29468 28,6367
1 89 80 32 6,60162 28,6014
1 166 103 59 6,50665 28,566
1 128 88 45 7,1054 28,5318
1 151 110 67 7,69017 28,4985
1 146 99 50 7,46469 28,465
1 173 106 66 7,7725 28,4321
1 174 113 72 8,39427 28,4003
