"ciclo"	"detecMovimiento(preprocess)"	"extraccion_y_descipcion"	"correspondencias"	"homografia"	"convexidad_y_vertices"	"warp_perspective"	"fps"	"fpspromedio"		
145	0,00165914	0	0	0	0	0	53,7235	50,3317		
146	0,00188612	0	0	0	0	0	52,8623	50,3491		
147	0,00212358	0	0	0	0	0	44,6749	50,3103		
148	0,00165977	0	0	0	0	0	46,6117	50,2851		
149	0,00166263	0	0	0	0	0	41,0357	50,2226		
150	0,0016898	0	0	0	0	0	50,2637	50,2229		
151	0,00171019	0	0	0	0	0	58,6928	50,2794		
152	0,00215871	0	0	0	0	0	57,14	50,3248		
153	0,0020939	0	0	0	0	0	58,0318	50,3755		
154	0,00170964	0	0	0	0	0	56,5133	50,4156		
155	0,00185134	0	0	0	0	0	59,3648	50,4737		
156	0,00168309	0	0	0	0	0	57,3988	50,5184		
157	0,0016217	0	0	0	0	0	54,2566	50,5424		
158	0,00163665	0	0	0	0	0	28,3583	50,4011		
159	0,00568163	0	0	0	0	0	39,2802	50,3307		
160	0,00161263	0	0	0	0	0	57,2507	50,3742		
161	0,00170321	0	0	0	0	0	52,955	50,3903		
162	0,00164077	0	0	0	0	0	58,6616	50,4417		
163	0,00225614	0	0	0	0	0	44,4764	50,4049		
164	0,00181537	0	0	0	0	0	50,0854	50,4029		
165	0,00167479	0	0	0	0	0	38,3272	50,3293		
166	0,00178094	0	0	0	0	0	59,1405	50,3827		
167	0,00212938	0	0	0	0	0	54,2804	50,4062		
168	0,00196588	0	0	0	0	0	56,715	50,4439		
169	0,00271311	0	0	0	0	0	44,8733	50,4108		
170	0,00198858	0	0	0	0	0	48,4779	50,3994		
171	0,00165565	0	0	0	0	0	55,3557	50,4285		
172	0,00163749	0	0	0	0	0	59,1998	50,4798		
173	0,00181866	0	0	0	0	0	57,5374	50,5208		
174	0,00160404	0	0	0	0	0	55,2456	50,5481		
175	0,00194696	0	0	0	0	0	36,948	50,47		
176	0,0020631	0	0	0	0	0	29,7081	50,3513		
177	0,00209432	0	0	0	0	0	50,5691	50,3526		
178	0,00356252	0	0	0	0	0	47,3596	50,3357		
179	0,00162736	0	0	0	0	0	52,7035	50,349		
180	0,00171795	0	0	0	0	0	51,2194	50,3538		
181	0,0015893	0	0	0	0	0	58,1291	50,397		
182	0,00173373	0	0	0	0	0	59,2625	50,446		
183	0,00158902	0	0	0	0	0	55,651	50,4746		
184	0,00175475	0	0	0	0	0	50,6302	50,4755		
185	0,00167856	0	0	0	0	0	51,5841	50,4815		
186	0,00171976	0	0	0	0	0	58,1702	50,523		
187	0,00223519	0	0	0	0	0	57,4059	50,5601		
188	0,00209229	0	0	0	0	0	50,4056	50,5592		
189	0,00162506	0	0	0	0	0	54,8311	50,5819		
190	0,0022574	0	0	0	0	0	45,4505	50,5548		
191	0,00196078	0	0	0	0	0	52,4662	50,5649		
192	0,00237396	0	0	0	0	0	49,1954	50,5577		
193	0,00164329	0	0	0	0	0	58,0518	50,5967		
194	0,00199947	0	0	0	0	0	55,2267	50,6207		
195	0,002407	0	0	0	0	0	48,9428	50,6121		
196	0,00178918	0	0	0	0	0	52,2954	50,6207		
197	0,00205221	0	0	0	0	0	45,4795	50,5945		
198	0,00168694	0	0	0	0	0	56,3788	50,6238		
199	0,00170272	0	0	0	0	0	57,87	50,6604		
200	0,00170796	0	0	0	0	0	43,4557	50,6242		
201	0,00174623	0	0	0	0	0	56,7765	50,655		
202	0,00211548	0	0	0	0	0	51,6178	50,6598		
203	0,00175943	0	0	0	0	0	45,4914	50,6342		
204	0,00169015	0	0	0	0	0	62,5539	50,6929		
205	0,00173443	0	0	0	0	0	55,8221	50,718		
206	0,00171033	0	0	0	0	0	55,7072	50,7424		
207	0,00158951	0	0	0	0	0	57,8804	50,777		
208	0,00233576	0	0	0	0	0	47,7967	50,7626		
209	0,00205996	0	0	0	0	0	50,3627	50,7607		
210	0,00162904	0	0	0	0	0	61,6483	50,8128		
211	0,00160976	0	0	0	0	0	63,8772	50,875		
212	0,00168889	0	0	0	0	0	43,6738	50,8409		
213	0,00166871	0	0	0	0	0	48,2137	50,8285		
214	0,00196581	0	0	0	0	0	59,0522	50,8671		
215	0,0019501	0	0	0	0	0	65,9596	50,9376		
216	0,00159391	0	0	0	0	0	66,3089	51,0091		
217	0,00166277	0	0	0	0	0	67,4586	51,0853		
218	0,00174316	0	0	0	0	0	64,4782	51,147		
219	0,00161458	0	0	0	0	0	66,4055	51,217		
220	0,00158197	0	0	0	0	0	68,3568	51,2953		
221	0,00158623	0	0	0	0	0	31,7298	51,2063		
222	0,00182369	0	0	0	0	0	25,4213	51,0896		
223	0,00159098	0	0	0	0	0	30,8425	50,9984		
224	0,00163023	0	0	0	0	0	27,0184	50,8909		
225	0,00157792	0	0	0	0	0	29,0209	50,7933		
226	0,00163421	0	0	0	0	0	26,259	50,6842		
227	0,0015907	0	0	0	0	0	30,3454	50,5942		
228	0,00163211	0	0	0	0	0	26,5944	50,4885		
229	0,00159042	0	0	0	0	0	30,7834	50,4021		
230	0,00164468	0	0	0	0	0	29,9968	50,313		
231	0,00195066	0	0	0	0	0	25,7566	50,2062		
232	0,00163016	0,0115116	0,000046025	0,121961	0	0	21,6235	50,0825		
233	0,00158232	0,0150755	0,000045257	0,121961	0	0	24,0454	49,9702		
234	0,0015849	0,0201927	0,000056781	0,121961	0	0	25,7526	49,8663		
235	0,00159398	0,0142071	0,000042952	0,121961	0	0	31,3776	49,7873		
236	0,00158707	0,0105023	0,000049308	0,121961	0	0	33,2348	49,7169		
237	0,00158113	0	0	0	0	0	37,1901	49,6638		
238	0,00164406	0,0149675	0,000067885	0,121961	0	0	19,4401	49,5363		
239	0,00227367	0	0	0	0	0	46,933	49,5253		
240	0,00200122	0,00700651	0,000072425	0,121961	0	0	35,5365	49,4668		
241	0,0016194	0	0	0	0	0	56,6086	49,4965		
242	0,00167199	0	0	0	0	0	56,2111	49,5244		
243	0,00170447	0,0365429	0,00115454	0,00646873	0,000002724	0	16,3039	49,3871		
244	0,00199878	0	0	0	0	0	56,0976	49,4147		
245	0,00280844	0	0	0	0	0	50,6357	49,4198		
246	0,00163169	0,00516166	0,00007885	0,00646873	0	0	41,9041	49,3891		
247	0,00171718	0	0	0	0	0	54,8067	49,4111		
248	0,0016926	0,0193565	0,000074869	0,00646873	0	0	27,0871	49,3207		
249	0,00159342	0,00961165	0,00013172	0,00646873	0	0	34,3219	49,2602		
250	0,00178653	0,0174826	0,000069771	0,00646873	0	0	28,1889	49,1756		
251	0,0018079	0,0305091	0,00102869	0,00809058	0,000003352	0	17,4374	49,0487		
252	0,00163134	0,0328272	0,000826496	0,00209495	0,000003143	0	18,3412	48,9263		
253	0,00158909	0,0309098	0,000069631	0,00209495	0	0	20,942	48,8153		
254	0,00161703	0,0517243	0,00120867	0,00712559	0,000002444	0	13,1201	48,6742		
255	0,0016824	0,0453034	0,00147022	0,0363814	0,000003003	0	9,79412	48,5211		
256	0,00157449	0,0544066	0,00503469	0,139854	0,000006077	0,00893524	4,43607	48,3482		
257	0,00163211	0,0593047	0,0058512	0,122612	0,000003073	0,00882935	4,64784	48,1775		
258	0,0048802	0,0585795	0,00439907	0,122505	0,000003631	0,00881916	4,65211	48,0082		
259	0,00205863	0,079051	0,00540729	0,154827	0,000002933	0,00895207	3,69352	47,8364		
260	0,0016539	0,0659012	0,00608796	0,123103	0,000003701	0,0088772	4,38776	47,6686		
261	0,00171438	0,067328	0,00385969	0,123571	0,000002584	0	4,57427	47,5029		
262	0,0023734	0,0662699	0,00287402	0,121252	0,000002515	0	4,68698	47,3389		
263	0,00164392	0,0737347	0,00646427	0,0768075	0,000003422	0,00917598	5,36009	47,1786		
264	0,00164643	0,111497	0,00487385	0,124104	0,000003213	0	3,79716	47,0137		
265	0,00164587	0,0928571	0,0065962	0,0672363	0,000003423	0,0089337	5,09139	46,8549		
266	0,00155634	0,0671282	0,00334712	0,134862	0,000002933	0	4,49946	46,6951		
267	0,00162129	0,073297	0,00623638	0,0348262	0,000003632	0,00898915	7,0363	46,546		
268	0,0016502	0,0700872	0,00515838	0,0940178	0,000003283	0,00893139	5,02149	46,3904		
269	0,00161877	0,0722633	0,00570887	0,0235302	0,000003003	0,00890667	7,74516	46,2462		
270	0,00161263	0,0834989	0,00422586	0,123515	0,000003632	0,00923255	4,1834	46,0899		
271	0,00176998	0,0803675	0,00616758	0,0128009	0,000002934	0,00880889	7,81042	45,9481		
272	0,00166584	0,0787822	0,00589541	0,0175753	0,000002863	0,00873675	7,73651	45,8071		
273	0,00164405	0,0869194	0,00640099	0,00766322	0,000002584	0,00938152	7,68669	45,6669		
274	0,00158797	0,0919224	0,00319864	0,122577	0,000002654	0	4,21534	45,5151		
275	0,00160243	0,0999217	0,00416112	0,122496	0,000002863	0	4,14175	45,3641		
276	0,00171438	0,10935	0,00584645	0,116958	0,000003353	0,00921697	3,83828	45,2131		
277	0,00160669	0,098147	0,00329	0,14908	0,000002724	0	3,70292	45,0627		
278	0,00159244	0,120153	0,00622597	0,105073	0,000003772	0	3,95557	44,9143		
279	0,00201882	0,107289	0,00591189	0,105857	0,000002864	0,00918707	4,02267	44,7672		
280	0,00206813	0,102321	0,00551331	0,0657647	0,000003142	0	5,19224	44,6254		
281	0,00160494	0,109179	0,00686626	0,0228633	0,000003143	0,00918107	6,02573	44,4875		
282	0,00159091	0,118725	0,00574833	0,0987365	0,000003073	0,009131	3,99442	44,3434		
283	0,0015768	0,108414	0,00645079	0,0209412	0,000003212	0,00915984	6,11812	44,2079		
284	0,00159573	0,111577	0,00676444	0,00687821	0,000003073	0,00915943	6,50754	44,0746		
285	0,00327742	0,108562	0,00624538	0,0322705	0,000003213	0,00914441	5,64191	43,9393		
286	0,00155152	0,113172	0,00676528	0,0121235	0,000002933	0,00916026	6,31916	43,8073		
287	0,00159887	0,115897	0,00657525	0,0221331	0,000003073	0	6,15036	43,6756		
288	0,00185875	0,113102	0,00645344	0,018345	0,000003073	0,00913274	6,06557	43,5446		
289	0,00156898	0,10439	0,00637997	0,0556096	0,000003142	0	5,41905	43,4122		
290	0,00158204	0,0891935	0,00590072	0,0533196	0,000003212	0,00959349	5,64401	43,2815		
291	0,00174428	0,0887197	0,0061849	0,0576868	0,000003771	0,00867871	5,5292	43,1514		
292	0,00195876	0,0875584	0,00665577	0,0440963	0,000003353	0,00891247	6,06973	43,0239		
293	0,00176942	0,0915011	0,00687088	0,0225808	0,000003701	0,00885617	6,7844	42,8998		
294	0,00159272	0,0939343	0,00665975	0,0244926	0,000003562	0,00893104	6,56892	42,7758		
295	0,00193012	0,0992038	0,00626243	0,0353577	0,000003003	0,00885485	5,8958	42,6504		
296	0,0019795	0,101171	0,00655876	0,0734747	0,000003632	0,00906004	4,74539	42,5219		
297	0,00550688	0,109568	0,0069139	0,0272473	0,000002933	0,00876112	5,654	42,3973		
298	0,00155906	0,101756	0,00676095	0,013674	0,000003003	0,00874869	6,73278	42,2773		
299	0,00179777	0,107939	0,0065054	0,0475693	0,000002514	0	5,55235	42,154		
300	0,00200248	0,102833	0,00706071	0,0158232	0,000003282	0,00876622	6,55175	42,0349		
301	0,00159321	0,106633	0,00717776	0,0177249	0,000003422	0	6,67219	41,9171		
302	0,00162604	0,114097	0,00666653	0,0739633	0,000004051	0,00878354	4,29058	41,7921		
303	0,00162185	0,103515	0,0067057	0,121635	0,000005099	0,00904747	3,81584	41,6663		
304	0,00171474	0,123126	0,00682729	0,0813732	0,000002724	0,00898776	4,18673	41,5426		
305	0,0019957	0,0948519	0,0067629	0,0737225	0,000003282	0,00898042	4,84736	41,4219		
306	0,00559112	0,138743	0,00693806	0,123346	0,000003003	0,00881057	3,32562	41,297		
307	0,00224909	0,0896496	0,00688422	0,062815	0,000004051	0,00941225	5,26865	41,1793		
308	0,00162464	0,094714	0,00204927	0,0831272	0,000002934	0	4,92593	41,0612		
309	0,00159628	0,0932008	0,00271667	0,122425	0,000003143	0	4,1866	40,9415		
310	0,00193948	0,107026	0,00641196	0,0189429	0,000002654	0,00915147	6,1453	40,8288		
311	0,00171236	0,0989173	0,00676325	0,00892986	0,000002863	0,00912659	6,8518	40,7192		
312	0,00162506	0,0973396	0,00640714	0,0296278	0,000002863	0,00916557	6,16724	40,6081		
313	0,00192677	0,113587	0,00365268	0,121759	0,000002514	0	3,84793	40,4903		
314	0,00382135	0,101177	0,00314053	0,122024	0,000002863	0	4,00495	40,3738		
315	0,00198202	0,135654	0,00103267	0,00535072	0,000002445	0	6,172	40,2648		
316	0,00488949	0,123405	0,00326897	0,122182	0,000003073	0	3,74907	40,1489		
317	0,00158574	0,116931	0,000797164	0,00170992	0,000002096	0	7,21438	40,0447		
318	0,00199717	0,114393	0,0026425	0,0949447	0,000002793	0	4,23508	39,9317		
319	0,00188584	0,113902	0,000044419	0,0949447	0	0	7,66417	39,8303		
320	0,00157177	0,0899085	0,00137063	0,00380319	0,000003073	0	8,92738	39,7334		
321	0,00201184	0,0898197	0,00124652	0,0344676	0,000002933	0	6,93779	39,6309		
322	0,00202406	0,0707988	0,000049307	0,0344676	0	0	11,2468	39,5425		
323	0,00164971	0,118901	0,00645861	0,0428364	0,000003492	0,00857178	5,12405	39,4356		
324	0,00161933	0,0910869	0,00389048	0,122901	0,000002864	0,00860733	4,06077	39,3261		
325	0,00240127	0,101743	0,00513757	0,122893	0,000003073	0,00855104	3,89748	39,2167		
326	0,0016032	0,106904	0,00430869	0,0574234	0,000003422	0,00859917	5,09163	39,1117		
327	0,00217408	0,0925984	0,00323063	0,122299	0,000003282	0	4,21282	39,0047		
328	0,00159139	0,0966639	0,006498	0,0163713	0,000003213	0,00859092	6,63425	38,9057		
329	0,00161793	0,114389	0,00677652	0,00876329	0,000002863	0,00860461	6,28607	38,8062		
330	0,00158169	0,106229	0,00633457	0,035331	0,000003562	0,00860223	5,73994	38,7057		
331	0,00159957	0,119247	0,00631634	0,0907789	0,000003073	0,00858897	4,10305	38,6009		
332	0,00160383	0,109442	0,00651916	0,037977	0,000003143	0,00859825	5,4433	38,5007		
333	0,00164727	0,0200689	0,000782708	0,00688491	0,00000433	0	20,2597	38,4457		
334	0,0016231	0,120896	0,00247803	0,0726426	0,000002724	0	4,62867	38,3442		
335	0,0019531	0,128184	0,000973163	0,00287053	0,000002375	0	6,6903	38,2494		
336	0,00182362	0,140836	0,00253474	0,0792907	0,000002585	0	4,14554	38,1476		
337	0,0015958	0,144323	0,00534066	0,128354	0,000003632	0,00890422	3,2706	38,0438		
338	0,00164839	0,114236	0,00507806	0,123765	0,000003004	0,0132937	3,6209	37,9417		
339	0,00171655	0,121678	0,00611534	0,123543	0,000003003	0,00869191	3,59099	37,84		
340	0,00165474	0,0713873	0,0058049	0,0964499	0,000003283	0,00867745	4,92761	37,7429		
341	0,00162534	0,126781	0,00628226	0,0519306	0,000003422	0,00889277	4,64251	37,6456		
342	0,00169364	0,12281	0,0021965	0,0725262	0,000002724	0	4,61455	37,5487		
343	0,00389	0,114329	0,00519337	0,0634687	0,000002654	0,0085472	4,71662	37,4527		
344	0,00168421	0,111778	0,00503399	0,0610969	0,000002933	0,0085574	4,90432	37,3578		
345	0,00193194	0,0973862	0,00535575	0,0458242	0,000002933	0,00855795	5,66001	37,2657		
346	0,001747	0,111299	0,00496471	0,0485808	0,000002933	0,00861655	5,18677	37,1727		
347	0,00157254	0	0	0	0	0	50,5612	37,2114		
348	0,00171879	0,0185683	0,000070399	0,0485808	0	0,0087232	19,3017	37,1598		
349	0,00195527	0,0509298	0,00263196	0,122342	0,000003143	0	5,15977	37,0678		
350	0,00166661	0,035279	0,00266897	0,122775	0,000002724	0	5,5571	36,9775		
351	0,00197328	0	0	0	0	0	52,4085	37,0216		
352	0,00205849	0	0	0	0	0	41,1033	37,0333		
353	0,00200164	0	0	0	0	0	52,9296	37,0784		
354	0,00185442	0	0	0	0	0	55,5898	37,1309		
355	0,00163693	0,0252209	0,00152435	0,120024	0,000002654	0	6,15161	37,0434		
356	0,00221214	0	0	0	0	0	52,8123	37,0878		
357	0,00163058	0	0	0	0	0	46,4018	37,1139		
358	0,00169336	0	0	0	0	0	37,4378	37,1148		
359	0,0015819	0	0	0	0	0	55,5802	37,1664		
360	0,00164873	0	0	0	0	0	53,0649	37,2107		
361	0,00183493	0	0	0	0	0	43,2019	37,2274		
362	0,00167912	0,080865	0,00424277	0,122096	0,000002374	0	4,4524	37,1366		
363	0,00225153	0,098014	0,00161507	0,136987	0,000002794	0	3,84673	37,0446		
364	0,00161011	0,103616	0,00137496	0,0406886	0,000002794	0	6,06597	36,9593		
365	0,00170922	0,0997437	0,00241566	0,122316	0,000002864	0	4,0851	36,8689		
366	0,0173983	0,113978	0,00420086	0,0652582	0,000002934	0,00871943	4,34081	36,7798		
367	0,00159377	0,101737	0,00650917	0,139658	0,000003282	0,0103738	3,60629	36,6892		
368	0,00186692	0,158614	0,00669872	0,0908748	0,000003422	0,00889591	3,47002	36,5987		
369	0,00164915	0	0	0	0	0	60,9611	36,6649		
370	0,00233297	0	0	0	0	0	41,5126	36,678		
371	0,00166654	0	0	0	0	0	49,7758	36,7134		
372	0,00166654	0	0	0	0	0	47,2656	36,7419		
373	0,00160411	0	0	0	0	0	55,9756	36,7936		
374	0,00251846	0	0	0	0	0	46,3004	36,819		
375	0,00159607	0	0	0	0	0	56,8927	36,8727		
376	0,00180015	0	0	0	0	0	44,232	36,8923		
377	0,00200653	0	0	0	0	0	34,0867	36,8849		
378	0,00160068	0	0	0	0	0	49,645	36,9187		
379	0,00242327	0	0	0	0	0	47,4045	36,9465		
380	0,00173583	0	0	0	0	0	44,3007	36,9659		
381	0,0018769	0	0	0	0	0	47,4115	36,9934		
382	0,00160634	0	0	0	0	0	53,2651	37,0361		
383	0,00169448	0	0	0	0	0	46,7509	37,0615		
384	0,00166054	0	0	0	0	0	53,1604	37,1035		
385	0,00165104	0	0	0	0	0	45,1083	37,1244		
386	0,00162659	0	0	0	0	0	48,5694	37,1541		
387	0,00169762	0	0	0	0	0	52,4603	37,1938		
388	0,00171061	0	0	0	0	0	54,2215	37,2378		
389	0,00195589	0	0	0	0	0	57,6997	37,2905		
390	0,00200108	0	0	0	0	0	54,3564	37,3344		
391	0,00165327	0	0	0	0	0	47,0235	37,3592		
392	0,00163602	0	0	0	0	0	57,9444	37,4119		
393	0,00160124	0	0	0	0	0	48,1949	37,4394		
394	0,00159509	0	0	0	0	0	60,8717	37,499		
395	0,00236006	0	0	0	0	0	50,3095	37,5315		
396	0,0015826	0	0	0	0	0	55,374	37,5767		
397	0,00167443	0	0	0	0	0	43,4386	37,5915		
398	0,00172954	0	0	0	0	0	47,3772	37,6161		
399	0,00161814	0	0	0	0	0	33,1896	37,605		
400	0,00241426	0	0	0	0	0	35,3884	37,5995		
401	0,00158406	0	0	0	0	0	49,4997	37,6292		
402	0,00166249	0	0	0	0	0	43,8689	37,6448		
403	0,00162261	0	0	0	0	0	50,3826	37,6764		
404	0,00163658	0	0	0	0	0	47,3799	37,7005		
405	0,00166961	0	0	0	0	0	56,9182	37,7481		
406	0,00158958	0	0	0	0	0	60,3063	37,8038		
